item_id,display_name,category_tags,stack_limit,grid_width,grid_height,can_rotate,fuel_value,tool_tags,durability_max,unlock_milestone,notes
material_copper_dust,铜粉,Material;Material.Metal.Copper;Form.Powder,1,1,1,FALSE,0,,0,tbd,研磨碗加工
material_tin_ingot,锡锭,Material;Material.Metal.Tin;Form.Ingot,1,1,1,FALSE,0,,0,tbd,T0仅搜刮或拆解获得
material_tin_plate,锡板,Material;Material.Metal.Tin;Form.Plate,1,1,1,FALSE,0,,0,tbd,2锡锭锤制
material_tin_wire,锡线,Material;Material.Metal.Tin;Form.Wire,1,1,1,FALSE,0,,0,tbd,1锡板剪制
material_tin_dust,锡粉,Material;Material.Metal.Tin;Form.Powder,1,1,1,FALSE,0,,0,tbd,研磨碗加工
material_glass,玻璃,Material;Material.Glass,1,1,1,FALSE,0,,0,tbd,T0通过搜刮获得
material_insulating_rubber,绝缘橡胶,Material;Material.Rubber;Material.Insulation,1,1,1,FALSE,0,,0,tbd,前期搜刮且农业后由橡胶树提供可持续来源
material_charcoal,木炭,Material;Material.Carbon.Source;Fuel,1,1,1,FALSE,1,,0,tbd,土焦炉以木材生产
material_coal,煤炭,Material;Material.Carbon.Source;Fuel,1,1,1,FALSE,1,,0,tbd,T0工厂餐厅搜刮且T1矿场开采
material_carbon_dust,碳粉,Material;Material.Carbon;Form.Powder,1,1,1,FALSE,0,,0,tbd,木炭或煤炭研磨获得
material_coke_brick,焦炉砖,Material;Material.Building,1,1,1,FALSE,0,,0,tbd,石头与泥土制作
material_pipe_simple,简易管道,Material;Connection.Fluid;Measure.Meter,100,1,1,FALSE,0,,0,t0_5,每个数量代表1米且每格最多100米可运输所有Fluid
material_wire_copper_insulated,绝缘铜导线,Material;Connection.Electric;Measure.Meter,100,1,1,FALSE,0,,0,t0_5,每个数量代表1米且每格最多100米
power_battery_disposable,一次性电池,Consumable;PowerSource.Portable,1,1,1,FALSE,0,,0,t0_5,不可合成充电或维修且仅能搜索获得
component_vacuum_tube,电子管,Component;Component.Electronic.Tier2,1,1,1,FALSE,0,,0,tbd,T0电子路线统一使用电子管
component_resistor,电阻,Component;Component.Electronic.Tier2,1,1,1,FALSE,0,,0,tbd,铜线与碳粉制作
component_circuit_substrate,电路基板,Component;Component.Electronic.Tier2,1,1,1,FALSE,0,,0,tbd,木板橡胶铜线与铜板制作
component_machine_frame_basic,基础机器框架,Component;Component.Machine.Tier2,1,1,1,FALSE,0,,0,tbd,配方待定
component_circuit_board,电路板,Component;Component.Electronic.Tier3,1,1,1,FALSE,0,,0,tbd,电子管电阻基板与锡线装配
building_foundation_basic,基础地基,Building;Building.Structure,1,1,1,FALSE,0,,0,t0_3,自由探索后的基地锚点
building_research_table,研究台,Building;Building.Facility.Research,1,1,1,FALSE,0,,0,t0_3,配方待定
building_workstation_basic,初级工作站,Building;Building.Facility.Crafting,1,1,1,FALSE,0,,0,t0_3,配方待定
building_storage_basic,基础储物箱,Building;Building.Facility.Storage,1,1,1,FALSE,0,,0,t0_3,配方待定
machine_earth_coke_oven,土焦炉,Building;Machine;Machine.Pyrolysis,1,1,1,FALSE,0,,0,t0_3,焦炉砖28建造且不需要工具
building_garden_room_small,小型园艺室,Building;Building.Facility.Gardening,1,1,1,FALSE,0,,0,t0_5,配方待定
building_groundwater_well,地下水井,Building;Building.Facility.FluidSource,1,1,1,FALSE,0,,0,t0_5,郊外钻探后提供永久Fluid.Water
machine_boiler_simple,简易锅炉,Building;Machine;Machine.SteamProducer,1,1,1,FALSE,0,,0,t0_5,配方待定
machine_steam_generator,蒸汽发电机,Building;Machine;Machine.PowerGenerator,1,1,1,FALSE,0,,0,t0_5,配方待定
machine_water_pump_electric,电动水泵,Building;Machine;Machine.FluidPump,1,1,1,FALSE,0,,0,t0_5,T0时代标志设备
